root,freq,n_forms,n_suras,n_ayat,PROMINENCE_pctile,morph_resid(living=+/frozen=-),CONCENTRATION_q(sura),signature_sig,classification
خیم,1,1,1,1,19.9,-0.00,0.38,0,ordinary
دثر,1,1,1,1,19.8,-0.00,0.219,0,ordinary
دحو,1,1,1,1,19.8,-0.00,0.197,0,ordinary
فتء,1,1,1,1,19.7,-0.00,0.786,0,ordinary
فتق,1,1,1,1,19.6,-0.00,0.609,0,ordinary
ضیز,1,1,1,1,19.6,-0.00,0.309,0,ordinary
طحو,1,1,1,1,19.5,-0.00,0.134,0,ordinary
طرح,1,1,1,1,19.5,-0.00,0.791,0,ordinary
ضدد,1,1,1,1,19.4,-0.00,0.584,0,ordinary
ضفدع,1,1,1,1,19.3,-0.00,0.91,0,ordinary
ضمر,1,1,1,1,19.3,-0.00,0.663,0,ordinary
ضنن,1,1,1,1,19.2,-0.00,0.151,0,ordinary
ضنک,1,1,1,1,19.2,-0.00,0.708,0,ordinary
ضهء,1,1,1,1,19.1,-0.00,0.834,0,ordinary
ضیر,1,1,1,1,19.0,-0.00,0.675,0,ordinary
درهم,1,1,1,1,19.0,-0.00,0.791,0,ordinary
دسر,1,1,1,1,18.9,-0.00,0.352,0,ordinary
حنذ,1,1,1,1,18.9,-0.00,0.805,0,ordinary
حنک,1,1,1,1,18.8,-0.00,0.733,0,ordinary
فوم,1,1,1,1,18.8,-0.00,1,0,ordinary
فصم,1,1,1,1,18.7,-0.00,1,0,ordinary
فضح,1,1,1,1,18.6,-0.00,0.435,0,ordinary
فضو,1,1,1,1,18.6,-0.00,0.972,0,ordinary
فظظ,1,1,1,1,18.5,-0.00,0.933,0,ordinary
فقع,1,1,1,1,18.5,-0.00,1,0,ordinary
فلن,1,1,1,1,18.4,-0.00,0.577,0,ordinary
حقف,1,1,1,1,18.3,-0.00,0.435,0,ordinary
حلقم,1,1,1,1,18.3,-0.00,0.375,0,ordinary
فرع,1,1,1,1,18.2,-0.00,0.558,0,ordinary
فره,1,1,1,1,18.2,-0.00,0.699,0,ordinary
فسر,1,1,1,1,18.1,-0.00,0.57,0,ordinary
فصح,1,1,1,1,18.0,-0.00,0.741,0,ordinary
فجو,1,1,1,1,18.0,-0.00,0.743,0,ordinary
فرث,1,1,1,1,17.9,-0.00,0.787,0,ordinary
غول,1,1,1,1,17.9,-0.00,0.534,0,ordinary
حری,1,1,1,1,17.8,-0.00,0.266,0,ordinary
حسم,1,1,1,1,17.8,-0.00,0.257,0,ordinary
حصحص,1,1,1,1,17.7,-0.00,0.786,0,ordinary
قرش,1,1,1,1,17.6,-0.00,0.04,1,SIGNATURE(local)
قسس,1,1,1,1,17.6,-0.00,0.862,0,ordinary
فیل,1,1,1,1,17.5,-0.00,0.04,1,SIGNATURE(local)
قبح,1,1,1,1,17.5,-0.00,0.728,0,ordinary
قثء,1,1,1,1,17.4,-0.00,1,0,ordinary
قدح,1,1,1,1,17.3,-0.00,0.0888,0,ordinary
حصل,1,1,1,1,17.3,-0.00,0.0888,0,ordinary
حفد,1,1,1,1,17.2,-0.00,0.8,0,ordinary
فند,1,1,1,1,17.2,-0.00,0.769,0,ordinary
فنن,1,1,1,1,17.1,-0.00,0.373,0,ordinary
فنی,1,1,1,1,17.0,-0.00,0.363,0,ordinary
فهم,1,1,1,1,17.0,-0.00,0.617,0,ordinary
فوض,1,1,1,1,16.9,-0.00,0.647,0,ordinary
صیف,1,1,1,1,16.9,-0.00,0.0243,1,SIGNATURE(local)
ضءن,1,1,1,1,16.8,-0.00,0.856,0,ordinary
ضبح,1,1,1,1,16.8,-0.00,0.121,0,ordinary
دمغ,1,1,1,1,16.7,-0.00,0.618,0,ordinary
دنر,1,1,1,1,16.6,-0.00,0.95,0,ordinary
حدب,1,1,1,1,16.6,-0.00,0.611,0,ordinary
حرد,1,1,1,1,16.5,-0.00,0.257,0,ordinary
حرس,1,1,1,1,16.5,-0.00,0.25,0,ordinary
قسور,1,1,1,1,16.4,-0.00,0.257,0,ordinary
قشعر,1,1,1,1,16.3,-0.00,0.634,0,ordinary
قصف,1,1,1,1,16.3,-0.00,0.743,0,ordinary
قصم,1,1,1,1,16.2,-0.00,0.593,0,ordinary
قصی,1,1,1,1,16.2,-0.00,0.611,0,ordinary
قضب,1,1,1,1,16.1,-0.00,0.153,0,ordinary
قضض,1,1,1,1,16.0,-0.00,0.768,0,ordinary
حرک,1,1,1,1,16.0,-0.00,0.127,0,ordinary
قطط,1,1,1,1,15.9,-0.00,0.463,0,ordinary
قطمر,1,1,1,1,15.9,-0.00,0.474,0,ordinary
قطن,1,1,1,1,15.8,-0.00,0.561,0,ordinary
قعر,1,1,1,1,15.8,-0.00,0.363,0,ordinary
قفل,1,1,1,1,15.7,-0.00,0.399,0,ordinary
قلع,1,1,1,1,15.6,-0.00,0.808,0,ordinary
دسس,1,1,1,1,15.6,-0.00,0.79,0,ordinary
دسو,1,1,1,1,15.5,-0.00,0.121,0,ordinary
دفء,1,1,1,1,15.5,-0.00,0.786,0,ordinary
دفق,1,1,1,1,15.4,-0.00,0.137,0,ordinary
دلک,1,1,1,1,15.3,-0.00,0.728,0,ordinary
دمدم,1,1,1,1,15.3,-0.00,0.0888,0,ordinary
صوع,1,1,1,1,15.2,-0.00,0.786,0,ordinary
صوف,1,1,1,1,15.2,-0.00,0.797,0,ordinary
صکک,1,1,1,1,15.1,-0.00,0.339,0,ordinary
صیص,1,1,1,1,15.0,-0.00,0.694,0,ordinary
ذعن,1,1,1,1,15.0,-0.00,0.694,0,ordinary
لحف,1,1,1,1,14.9,-0.00,1,0,ordinary
قمح,1,1,1,1,14.9,-0.00,0.46,0,ordinary
قمطر,1,1,1,1,14.8,-0.00,0.279,0,ordinary
قمع,1,1,1,1,14.8,-0.00,0.663,0,ordinary
قمل,1,1,1,1,14.7,-0.00,0.916,0,ordinary
قنو,1,1,1,1,14.6,-0.00,0.868,0,ordinary
قنی,1,1,1,1,14.6,-0.00,0.309,0,ordinary
قوب,1,1,1,1,14.5,-0.00,0.312,0,ordinary
قوس,1,1,1,1,14.5,-0.00,0.339,0,ordinary
جوس,1,1,1,1,14.4,-0.00,0.743,0,ordinary
جوف,1,1,1,1,14.3,-0.00,0.713,0,ordinary
جوو,1,1,1,1,14.3,-0.00,0.798,0,ordinary
حبک,1,1,1,1,14.2,-0.00,0.343,0,ordinary
حتم,1,1,1,1,14.2,-0.00,0.598,0,ordinary
حثث,1,1,1,1,14.1,-0.00,0.911,0,ordinary
جمح,1,1,1,1,14.1,-0.00,0.823,0,ordinary
جمد,1,1,1,1,14.0,-0.00,0.595,0,ordinary
لحن,1,1,1,1,13.9,-0.00,0.424,0,ordinary
لحی,1,1,1,1,13.9,-0.00,0.698,0,ordinary
لزب,1,1,1,1,13.8,-0.00,0.538,0,ordinary
جمم,1,1,1,1,13.8,-0.00,0.192,0,ordinary
دهق,1,1,1,1,13.7,-0.00,0.207,0,ordinary
دهم,1,1,1,1,13.6,-0.00,0.364,0,ordinary
دهی,1,1,1,1,13.6,-0.00,0.365,0,ordinary
صلد,1,1,1,1,13.5,-0.00,1,0,ordinary
صمت,1,1,1,1,13.5,-0.00,0.905,0,ordinary
صمد,1,1,1,1,13.4,-0.00,0.0243,1,SIGNATURE(local)
صمع,1,1,1,1,13.3,-0.00,0.669,0,ordinary
ذءم,1,1,1,1,13.3,-0.00,0.912,0,ordinary
ذبذب,1,1,1,1,13.2,-0.00,0.974,0,ordinary
ذخر,1,1,1,1,13.2,-0.00,0.952,0,ordinary
لقب,1,1,1,1,13.1,-0.00,0.34,0,ordinary
لقح,1,1,1,1,13.1,-0.00,0.454,0,ordinary
جسس,1,1,1,1,13.0,-0.00,0.355,0,ordinary
صرع,1,1,1,1,12.9,-0.00,0.25,0,ordinary
صعر,1,1,1,1,12.9,-0.00,0.418,0,ordinary
صفصف,1,1,1,1,12.8,-0.00,0.708,0,ordinary
صفن,1,1,1,1,12.8,-0.00,0.454,0,ordinary
صخخ,1,1,1,1,12.7,-0.00,0.162,0,ordinary
شوک,1,1,1,1,12.6,-0.00,0.654,0,ordinary
شکس,1,1,1,1,12.6,-0.00,0.628,0,ordinary
ذهل,1,1,1,1,12.5,-0.00,0.672,0,ordinary
ذود,1,1,1,1,12.5,-0.00,0.729,0,ordinary
جفء,1,1,1,1,12.4,-0.00,0.577,0,ordinary
جفن,1,1,1,1,12.3,-0.00,0.518,0,ordinary
جفو,1,1,1,1,12.3,-0.00,0.34,0,ordinary
جلس,1,1,1,1,12.2,-0.00,0.377,0,ordinary
