root,freq,n_forms,n_suras,n_ayat,PROMINENCE_pctile,morph_resid(living=+/frozen=-),CONCENTRATION_q(sura),signature_sig,classification
ءله,2848,6,86,1877,100.0,-0.74,0.0243,1,Prominent·FROZEN +signature
قول,1722,17,84,1383,99.9,-0.25,0.0243,1,Prominent·LIVING +signature
کون,1390,18,86,1176,99.9,-0.19,0.0243,1,Prominent·LIVING +signature
ربب,980,8,94,871,99.8,-0.46,0.0243,1,Prominent·FROZEN +signature
ءمن,879,28,77,723,99.8,+0.07,0.0243,1,Prominent·LIVING +signature
علم,854,20,85,728,99.7,-0.07,0.0243,1,Prominent·LIVING +signature
قوم,660,45,79,597,99.6,+0.31,0.0243,1,Prominent·LIVING +signature
ءتی,549,31,72,486,99.6,+0.18,0.353,0,Prominent·LIVING
کفر,525,20,77,465,99.5,+0.01,0.0243,1,Prominent·LIVING +signature
بین,523,16,71,454,99.5,-0.08,0.162,0,Prominent·LIVING
شیء,519,12,73,449,99.4,-0.20,0.04,1,Prominent·LIVING +signature
رسل,513,16,69,429,99.4,-0.08,0.0243,1,Prominent·LIVING +signature
یوم,475,6,80,437,99.3,-0.45,0.0243,1,Prominent·FROZEN +signature
ءرض,461,2,80,440,99.2,-0.82,0.183,0,Prominent·FROZEN
ءیی,382,3,59,353,99.2,-0.66,0.0243,1,Prominent·FROZEN +signature
سمو,381,12,81,352,99.1,-0.15,0.04,1,Prominent·LIVING +signature
کلل,377,4,74,355,99.1,-0.56,0.712,0,Prominent·FROZEN
عذب,373,11,68,336,99.0,-0.18,0.115,0,Prominent·LIVING
عمل,360,13,68,313,98.9,-0.11,0.04,1,Prominent·LIVING +signature
جعل,346,9,66,311,98.9,-0.25,0.0243,1,Prominent·LIVING +signature
ءنس,342,10,77,321,98.8,-0.20,0.0243,1,Prominent·LIVING +signature
رحم,339,14,62,313,98.8,-0.07,0.0243,1,Prominent·LIVING +signature
رءی,328,25,72,297,98.7,+0.18,0.0243,1,Prominent·LIVING +signature
کتب,319,14,61,279,98.6,-0.06,0.0531,0,Prominent·LIVING
هدی,316,30,62,268,98.6,+0.26,0.153,0,Prominent·LIVING
ظلم,315,17,59,290,98.5,+0.02,0.663,0,Prominent·LIVING
نفس,298,7,63,270,98.5,-0.32,0.226,0,Prominent·LIVING
قبل,294,15,64,282,98.4,-0.02,0.897,0,Prominent·LIVING
نزل,293,18,60,257,98.4,+0.06,0.215,0,Prominent·LIVING
ذکر,292,23,71,264,98.3,+0.16,0.0243,1,Prominent·LIVING +signature
حقق,287,7,59,263,98.2,-0.31,0.153,0,Prominent·LIVING
کذب,282,16,68,257,98.2,+0.02,0.0243,1,Prominent·LIVING +signature
جیء,278,4,62,262,98.1,-0.51,0.157,0,Prominent·FROZEN
عبد,275,16,57,251,98.1,+0.02,0.0243,1,Prominent·LIVING +signature
ءخذ,273,23,55,244,98.0,+0.17,0.201,0,Prominent·LIVING
خلق,261,12,75,218,97.9,-0.09,0.0243,1,Prominent·LIVING +signature
وقی,258,21,63,237,97.9,+0.14,0.0531,0,Prominent·LIVING
ءخر,250,16,64,242,97.8,+0.04,0.487,0,Prominent·LIVING
ءمر,248,13,61,226,97.8,-0.05,0.0857,0,Prominent·LIVING
بعد,235,6,57,223,97.7,-0.34,0.608,0,Prominent·LIVING
غفر,234,19,56,202,97.6,+0.12,0.127,0,Prominent·LIVING
ولی,232,26,55,202,97.6,+0.25,0.115,0,Prominent·LIVING
دعو,212,22,55,182,97.5,+0.19,0.0531,0,Prominent·LIVING
حکم,210,14,57,189,97.5,+0.01,0.201,0,Prominent·LIVING
ملک,206,14,63,191,97.4,+0.01,0.266,0,Prominent·LIVING
عند,201,3,62,189,97.4,-0.56,0.919,0,Prominent·FROZEN
جنن,201,9,70,196,97.3,-0.16,0.0531,0,Prominent·LIVING
خیر,196,11,55,178,97.2,-0.08,0.21,0,Prominent·LIVING
حسن,194,17,50,177,97.2,+0.10,0.312,0,Prominent·LIVING
نور,194,6,62,174,97.1,-0.31,0.137,0,Prominent·LIVING
ضلل,191,18,56,170,97.1,+0.13,0.308,0,Prominent·LIVING
حیی,189,25,50,166,97.0,+0.27,0.271,0,Prominent·LIVING
سمع,185,16,57,163,96.9,+0.08,0.39,0,Prominent·LIVING
خرج,182,21,56,157,96.9,+0.20,0.134,0,Prominent·LIVING
صلح,180,15,54,170,96.8,+0.06,0.431,0,Prominent·LIVING
سبل,176,5,47,164,96.8,-0.36,0.21,0,Prominent·LIVING
تبع,174,13,52,158,96.7,+0.01,0.786,0,Prominent·LIVING
ءول,172,13,54,160,96.6,+0.01,0.283,0,Prominent·LIVING
قتل,170,18,33,122,96.6,+0.15,0.0857,0,Prominent·LIVING
مثل,169,9,50,148,96.5,-0.13,0.415,0,Prominent·LIVING
شرک,168,15,44,143,96.5,+0.07,0.0531,0,Prominent·LIVING
قلب,168,15,48,155,96.4,+0.07,0.0531,0,Prominent·LIVING
کثر,167,10,51,162,96.4,-0.09,0.233,0,Prominent·LIVING
سوء,166,17,45,150,96.3,+0.13,0.385,0,Prominent·LIVING
موت,165,25,53,143,96.2,+0.29,0.252,0,Prominent·LIVING
بنو,162,10,46,132,96.2,-0.08,0.264,0,Prominent·LIVING
کبر,161,25,57,153,96.1,+0.29,0.24,0,Prominent·LIVING
شهد,160,23,48,123,96.1,+0.26,0.0857,0,Prominent·LIVING
نصر,158,27,46,137,96.0,+0.33,0.141,0,Prominent·LIVING
بعض,158,3,38,87,95.9,-0.52,0.19,0,Prominent·FROZEN
سلم,157,19,50,142,95.9,+0.18,0.145,0,Prominent·LIVING
صدق,155,25,49,144,95.8,+0.30,0.52,0,Prominent·LIVING
غیر,154,5,46,146,95.8,-0.34,0.251,0,Prominent·LIVING
وحد,153,10,50,148,95.7,-0.07,0.0243,1,Prominent·LIVING +signature
وعد,151,16,51,130,95.6,+0.12,0.209,0,Prominent·LIVING
بصر,148,15,62,139,95.6,+0.09,0.331,0,Prominent·LIVING
رود,148,13,47,120,95.5,+0.04,0.478,0,Prominent·LIVING
لقی,146,33,53,135,95.5,+0.42,0.157,0,Prominent·LIVING
دون,144,1,46,142,95.4,-0.80,0.557,0,Prominent·FROZEN
ذوی,143,8,55,136,95.4,-0.15,0.0243,1,Prominent·LIVING +signature
نعم,140,9,61,128,95.3,-0.10,0.103,0,Prominent·LIVING
وسی,136,1,34,131,95.2,-0.79,0.0243,1,Prominent·FROZEN +signature
دنو,133,6,46,128,95.2,-0.25,0.945,0,Prominent·LIVING
قدر,132,18,58,121,95.1,+0.19,0.0243,1,Prominent·LIVING +signature
نذر,130,11,50,115,95.1,-0.01,0.0243,1,Prominent·LIVING +signature
نظر,129,16,48,115,95.0,+0.14,0.192,0,Prominent·LIVING
سءل,129,16,47,118,94.9,+0.14,0.145,0,Prominent·LIVING
طوع,129,24,40,118,94.9,+0.31,0.103,0,Prominent·LIVING
جمع,129,18,45,123,94.8,+0.19,0.196,0,Prominent·LIVING
عظم,128,7,50,127,94.8,-0.18,0.312,0,Prominent·LIVING
خلف,127,31,40,116,94.7,+0.42,0.745,0,Prominent·LIVING
ءهل,127,3,40,120,94.7,-0.48,0.21,0,Prominent·FROZEN
دخل,126,12,45,111,94.6,+0.03,0.236,0,Prominent·LIVING
خوف,124,16,42,112,94.5,+0.15,0.45,0,Prominent·LIVING
رزق,123,9,44,109,94.5,-0.08,0.304,0,Prominent·LIVING
بشر,123,18,47,119,94.4,+0.20,0.34,0,Prominent·LIVING
یدی,121,5,48,111,94.4,-0.30,0.277,0,Prominent·LIVING
عزز,120,10,48,117,94.3,-0.03,0.238,0,Prominent·LIVING
ءمم,119,13,42,108,94.2,+0.07,0.508,0,Prominent·LIVING
جزی,118,15,47,109,94.2,+0.13,0.272,0,Prominent·LIVING
ءبو,117,9,37,104,94.1,-0.07,0.0243,1,Prominent·LIVING +signature
نهر,113,7,51,102,94.1,-0.16,0.324,0,Prominent·LIVING
نفق,111,14,31,86,94.0,+0.11,0.0243,1,Prominent·LIVING +signature
ءکل,109,10,40,101,93.9,-0.02,0.263,0,Prominent·LIVING
حسب,109,12,40,102,93.9,+0.05,0.0648,0,Prominent·LIVING
ءجر,108,5,39,99,93.8,-0.28,0.197,0,Prominent·LIVING
فعل,108,11,44,102,93.8,+0.02,0.219,0,Prominent·LIVING
وجد,107,5,32,99,93.7,-0.28,0.0243,1,Prominent·LIVING +signature
عدو,106,22,34,92,93.7,+0.31,0.177,0,Prominent·LIVING
فضل,104,5,32,92,93.6,-0.27,0.178,0,Prominent·LIVING
رجع,104,9,42,103,93.5,-0.05,0.219,0,Prominent·LIVING
صبر,103,15,45,93,93.5,+0.15,0.186,0,Prominent·LIVING
شدد,102,11,48,99,93.4,+0.03,0.466,0,Prominent·LIVING
ولد,102,17,39,80,93.4,+0.21,0.0243,1,Prominent·LIVING +signature
ءذن,102,13,38,90,93.3,+0.10,0.21,0,Prominent·LIVING
دین,101,6,40,87,93.2,-0.20,0.0243,1,Prominent·LIVING +signature
صلو,99,9,37,90,93.2,-0.04,0.0243,1,Prominent·LIVING +signature
صحب,97,6,47,89,93.1,-0.20,0.0243,1,Prominent·LIVING +signature
قرب,96,17,41,91,93.1,+0.22,0.511,0,Prominent·LIVING
ءخو,96,11,31,80,93.0,+0.04,0.0888,0,Prominent·LIVING
عقب,96,15,36,90,92.9,+0.16,0.177,0,Prominent·LIVING
بغی,96,24,41,90,92.9,+0.36,0.815,0,Prominent·LIVING
حبب,95,13,35,85,92.8,+0.11,0.24,0,Prominent·LIVING
سبح,92,10,49,87,92.8,+0.01,0.121,0,Prominent·LIVING
سجد,92,15,32,81,92.7,+0.17,0.207,0,Prominent·LIVING
لیل,92,5,49,81,92.7,-0.25,0.0243,1,Prominent·LIVING +signature
لیس,89,3,33,85,92.6,-0.43,0.266,0,Prominent·FROZEN
شطن,88,5,36,78,92.5,-0.25,0.745,0,Prominent·LIVING
قرء,88,11,42,79,92.5,+0.05,0.0243,1,Prominent·LIVING +signature
توب,87,16,25,69,92.4,+0.21,0.103,0,Prominent·LIVING
خلد,87,10,40,86,92.4,+0.02,0.418,0,Prominent·LIVING
مول,86,5,38,80,92.3,-0.24,0.0243,1,Prominent·LIVING +signature
نجو,84,22,31,75,92.2,+0.34,0.0243,1,Prominent·LIVING +signature
سوو,83,16,48,80,92.2,+0.21,0.204,0,Prominent·LIVING
حرم,83,12,25,71,92.1,+0.10,0.393,0,Prominent·LIVING
زوج,81,8,43,72,92.1,-0.06,0.219,0,Prominent·LIVING
نبء,80,13,36,75,92.0,+0.14,0.331,0,Prominent·LIVING
نبو,80,7,23,77,91.9,-0.11,0.0243,1,Prominent·LIVING +signature
عرض,79,13,35,72,91.9,+0.14,0.617,0,Prominent·LIVING
وحی,78,8,33,70,91.8,-0.05,0.207,0,Prominent·LIVING
وجه,78,7,38,71,91.8,-0.10,0.266,0,Prominent·LIVING
جهنم,77,1,39,77,91.7,-0.70,0.509,0,Prominent·FROZEN
صوب,77,12,27,56,91.7,+0.11,0.713,0,Prominent·LIVING
بلغ,77,12,36,73,91.6,+0.11,0.574,0,Prominent·LIVING
قلل,76,7,33,74,91.5,-0.10,0.566,0,Prominent·LIVING
شکر,75,13,35,69,91.5,+0.15,0.363,0,Prominent·LIVING
ءلم,75,4,42,73,91.4,-0.30,0.846,0,Prominent·LIVING
کلم,75,12,32,71,91.4,+0.11,0.971,0,Prominent·LIVING
فرعن,74,1,27,67,91.3,-0.70,0.0759,0,Prominent·FROZEN
ضرر,74,17,31,70,91.2,+0.26,0.927,0,Prominent·LIVING
بءس,73,7,33,70,91.2,-0.09,0.967,0,Prominent·LIVING
بیت,73,7,29,54,91.1,-0.09,0.0531,0,Prominent·LIVING
رجل,73,7,32,66,91.1,-0.09,0.914,0,Prominent·LIVING
رضو,73,20,32,64,91.0,+0.33,0.0243,1,Prominent·LIVING +signature
غنی,73,14,44,72,90.9,+0.18,0.0648,0,Prominent·LIVING
فرق,72,21,30,66,90.9,+0.35,0.7,0,Prominent·LIVING
یمن,71,4,34,63,90.8,-0.29,0.04,1,Prominent·LIVING +signature
عرف,71,12,26,63,90.8,+0.12,0.339,0,Prominent·LIVING
سکن,71,18,40,68,90.7,+0.29,0.335,0,Prominent·LIVING
متع,70,11,38,65,90.7,+0.09,0.974,0,Prominent·LIVING
وکل,70,9,29,61,90.6,+0.01,0.666,0,Prominent·LIVING
علو,70,21,41,68,90.5,+0.35,0.309,0,Prominent·LIVING
برهم,69,1,25,63,90.5,-0.69,0.625,0,Prominent·FROZEN
ظنن,69,9,32,57,90.4,+0.01,0.0243,1,Prominent·LIVING +signature
هلک,68,13,40,63,90.4,+0.16,0.544,0,Prominent·LIVING
حمد,68,8,44,66,90.3,-0.03,0.207,0,Prominent·LIVING
کسب,67,4,27,60,90.2,-0.28,0.373,0,Prominent·LIVING
بعث,67,10,33,64,90.2,+0.06,0.552,0,Prominent·LIVING
جرم,66,10,36,65,90.1,+0.06,0.444,0,Prominent·LIVING
وفی,66,24,27,64,90.1,+0.42,0.93,0,Prominent·LIVING
خسر,65,14,35,60,90.0,+0.20,0.29,0,Prominent·LIVING
عین,65,9,37,63,89.9,+0.02,0.0888,0,ordinary
حمل,64,13,29,50,89.9,+0.17,0.0648,0,ordinary
جری,64,7,43,64,89.8,-0.07,0.62,0,ordinary
ذوق,63,13,32,61,89.8,+0.17,0.204,0,ordinary
تلو,63,15,33,61,89.7,+0.23,0.457,0,ordinary
موه,63,1,41,60,89.7,-0.67,0.312,0,ordinary
قضی,63,12,29,59,89.6,+0.14,0.574,0,ordinary
سحر,63,12,27,59,89.5,+0.14,0.121,0,ordinary
عود,63,13,39,58,89.5,+0.17,0.632,0,ordinary
زید,62,16,32,60,89.4,+0.26,0.196,0,ordinary
مسس,61,7,29,57,89.4,-0.06,0.729,0,ordinary
فری,60,15,24,54,89.3,+0.24,0.452,0,ordinary
فتن,60,8,32,58,89.2,-0.01,0.663,0,ordinary
غیب,60,6,35,59,89.2,-0.12,0.424,0,ordinary
ظهر,59,16,30,57,89.1,+0.27,0.188,0,ordinary
نسو,59,4,16,53,89.1,-0.26,0.18,0,ordinary
ردد,59,17,30,57,89.0,+0.29,0.79,0,ordinary
زکو,59,12,29,56,88.9,+0.15,0.228,0,ordinary
ضرب,58,6,28,54,88.9,-0.11,0.529,0,ordinary
روح,57,8,40,52,88.8,-0.00,0.478,0,ordinary
عدد,57,13,26,50,88.8,+0.19,0.162,0,ordinary
قری,57,4,26,54,88.7,-0.26,0.63,0,ordinary
ءجل,56,4,29,48,88.7,-0.25,0.555,0,ordinary
نهی,56,24,26,54,88.6,+0.45,0.225,0,ordinary
ذهب,56,10,30,56,88.5,+0.09,0.566,0,ordinary
دور,55,7,27,53,88.5,-0.05,0.574,0,ordinary
فسق,54,9,23,54,88.4,+0.05,0.394,0,ordinary
ضعف,52,16,21,45,88.4,+0.29,0.617,0,ordinary
ندو,52,12,26,49,88.3,+0.17,0.257,0,ordinary
خبر,51,5,31,51,88.2,-0.16,0.264,0,ordinary
تحت,51,1,30,50,88.2,-0.64,0.574,0,ordinary
حلل,51,15,21,43,88.1,+0.27,0.376,0,ordinary
فسد,50,10,23,47,88.1,+0.11,0.855,0,ordinary
نفع,50,6,31,49,88.0,-0.09,0.691,0,ordinary
طیب,50,9,23,46,87.9,+0.07,0.832,0,ordinary
وری,50,9,29,47,87.9,+0.07,0.309,0,ordinary
عقل,49,4,30,49,87.8,-0.23,0.993,0,ordinary
سوع,49,2,27,44,87.8,-0.45,0.365,0,ordinary
ءثم,48,10,21,42,87.7,+0.11,0.5,0,ordinary
قدم,48,10,37,48,87.7,+0.11,0.555,0,ordinary
خشی,48,10,24,40,87.6,+0.11,0.209,0,ordinary
طعم,48,10,26,41,87.5,+0.11,0.0243,1,SIGNATURE(local)
کرم,47,12,29,46,87.5,+0.19,0.0243,1,SIGNATURE(local)
عجل,47,11,25,44,87.4,+0.15,0.45,0,ordinary
صدر,46,4,31,43,87.4,-0.22,0.0888,0,ordinary
زین,46,5,28,43,87.3,-0.14,0.834,0,ordinary
عهد,46,4,17,36,87.2,-0.22,0.7,0,ordinary
صرط,45,2,25,45,87.2,-0.44,0.115,0,ordinary
وذر,45,4,29,43,87.1,-0.22,0.192,0,ordinary
نسی,45,12,20,37,87.1,+0.20,0.375,0,ordinary
صبح,45,10,25,43,87.0,+0.12,0.151,0,ordinary
حفظ,44,17,23,42,86.9,+0.34,0.219,0,ordinary
دبر,44,10,31,44,86.9,+0.13,0.343,0,ordinary
بدل,44,14,25,40,86.8,+0.26,0.64,0,ordinary
یسر,44,11,27,40,86.8,+0.17,0.0243,1,SIGNATURE(local)
سرر,44,14,33,43,86.7,+0.26,0.219,0,ordinary
حشر,43,8,28,43,86.7,+0.04,0.694,0,ordinary
فصل,43,12,24,42,86.6,+0.20,0.226,0,ordinary
نوح,43,2,28,43,86.5,-0.43,0.329,0,ordinary
جوب,43,15,23,41,86.5,+0.29,0.478,0,ordinary
ترک,43,8,20,37,86.4,+0.04,0.329,0,ordinary
مکر,43,5,14,23,86.4,-0.13,0.226,0,ordinary
فوق,43,3,27,41,86.3,-0.31,0.93,0,ordinary
بحر,42,6,25,40,86.2,-0.06,0.394,0,ordinary
قوی,42,6,25,39,86.2,-0.06,0.446,0,ordinary
حزن,42,4,25,42,86.1,-0.21,1,0,ordinary
سخر,42,9,21,35,86.1,+0.09,0.45,0,ordinary
صدد,42,6,23,41,86.0,-0.06,0.45,0,ordinary
طوف,41,10,22,35,85.9,+0.14,0.466,0,ordinary
لعن,41,10,18,36,85.9,+0.14,0.868,0,ordinary
کره,41,9,21,35,85.8,+0.10,0.42,0,ordinary
جبل,41,4,33,39,85.8,-0.20,0.219,0,ordinary
جهد,41,8,19,36,85.7,+0.05,0.364,0,ordinary
ویل,40,4,25,38,85.7,-0.20,0.0243,1,SIGNATURE(local)
قرن,40,11,22,38,85.6,+0.18,0.419,0,ordinary
ملء,40,7,18,40,85.5,+0.00,0.462,0,ordinary
فلح,40,6,24,40,85.5,-0.05,0.506,0,ordinary
شعر,40,9,23,40,85.4,+0.10,0.832,0,ordinary
شرب,39,11,22,34,85.4,+0.18,0.178,0,ordinary
طغی,39,14,27,39,85.3,+0.28,0.192,0,ordinary
ذنب,39,3,26,37,85.2,-0.29,0.378,0,ordinary
سلط,39,4,27,39,85.2,-0.20,0.741,0,ordinary
ذرر,38,3,21,36,85.1,-0.29,0.113,0,ordinary
مرء,38,8,22,37,85.1,+0.06,0.103,0,ordinary
فتح,38,12,25,33,85.0,+0.22,0.233,0,ordinary
هوی,38,9,22,37,85.0,+0.11,0.183,0,ordinary
قرر,38,12,22,37,84.9,+0.22,0.441,0,ordinary
سبق,37,11,24,35,84.8,+0.19,0.343,0,ordinary
نکر,37,10,26,37,84.8,+0.16,0.791,0,ordinary
بلو,37,16,24,34,84.7,+0.34,0.339,0,ordinary
قطع,36,9,23,36,84.7,+0.12,0.818,0,ordinary
ءوی,36,11,23,36,84.6,+0.20,0.308,0,ordinary
ریب,36,8,26,35,84.5,+0.07,0.797,0,ordinary
بطل,36,6,24,34,84.5,-0.04,0.956,0,ordinary
حدث,36,8,28,36,84.4,+0.07,0.197,0,ordinary
کید,35,6,16,29,84.4,-0.03,0.0243,1,SIGNATURE(local)
ورث,35,14,20,34,84.3,+0.30,0.558,0,ordinary
حین,35,1,23,33,84.2,-0.58,0.627,0,ordinary
مرر,35,9,22,32,84.2,+0.12,0.52,0,ordinary
غفل,35,8,21,35,84.1,+0.08,1,0,ordinary
عفو,35,11,11,31,84.1,+0.20,0.64,0,ordinary
خفی,34,15,21,31,84.0,+0.33,0.577,0,ordinary
ریم,34,1,12,31,84.0,-0.57,0.355,0,ordinary
هزء,34,9,21,32,83.9,+0.13,0.698,0,ordinary
ءلی,34,1,3,34,83.8,-0.57,0.0243,1,SIGNATURE(local)
جنح,34,5,14,32,83.8,-0.09,0.7,0,ordinary
وثق,34,8,13,29,83.7,+0.08,0.462,0,ordinary
عرش,33,4,25,32,83.7,-0.17,0.524,0,ordinary
ظلل,33,10,20,31,83.6,+0.17,0.253,0,ordinary
جنب,33,10,21,31,83.5,+0.17,0.443,0,ordinary
کفی,33,5,15,32,83.5,-0.09,0.482,0,ordinary
قسم,33,11,24,31,83.4,+0.21,0.174,0,ordinary
حجج,33,8,10,26,83.4,+0.09,0.609,0,ordinary
عمی,33,10,22,30,83.3,+0.17,0.797,0,ordinary
شمس,33,2,28,32,83.2,-0.39,0.444,0,ordinary
ثلث,32,10,20,28,83.2,+0.18,0.557,0,ordinary
وصی,32,11,13,21,83.1,+0.22,0.0243,1,SIGNATURE(local)
ءسف,32,4,7,30,83.1,-0.16,0.0243,1,SIGNATURE(local)
وسع,32,7,15,29,83.0,+0.04,0.773,0,ordinary
عصی,32,10,23,32,83.0,+0.18,0.611,0,ordinary
برر,32,5,18,30,82.9,-0.08,0.353,0,ordinary
نصب,32,7,19,29,82.8,+0.04,0.103,0,ordinary
مدد,32,16,24,29,82.8,+0.37,0.266,0,ordinary
برک,32,7,22,32,82.7,+0.04,0.71,0,ordinary
لبث,31,4,17,27,82.7,-0.16,0.454,0,ordinary
قعد,31,14,15,26,82.6,+0.32,0.46,0,ordinary
غلب,31,9,18,28,82.5,+0.14,0.435,0,ordinary
بدو,31,11,16,29,82.5,+0.22,0.933,0,ordinary
هجر,31,11,17,27,82.4,+0.22,0.385,0,ordinary
طهر,31,13,18,26,82.4,+0.29,0.595,0,ordinary
شفع,31,6,19,26,82.3,-0.01,0.663,0,ordinary
حیث,31,2,14,29,82.2,-0.38,0.663,0,ordinary
شرر,31,4,22,30,82.2,-0.16,0.0243,1,SIGNATURE(local)
خلص,31,9,17,30,82.1,+0.14,0.335,0,ordinary
ءنث,30,3,17,26,82.1,-0.25,0.372,0,ordinary
سعی,30,7,20,28,82.0,+0.05,0.18,0,ordinary
هود,30,6,12,29,82.0,-0.01,0.7,0,ordinary
عسی,30,2,16,28,81.9,-0.38,0.52,0,ordinary
ءفک,30,10,21,29,81.8,+0.19,0.444,0,ordinary
صرف,30,11,17,29,81.8,+0.23,0.836,0,ordinary
قصص,30,9,14,25,81.7,+0.15,0.939,0,ordinary
برء,29,15,19,26,81.7,+0.36,0.944,0,ordinary
طیر,29,8,19,24,81.6,+0.11,0.245,0,ordinary
جند,29,4,18,27,81.5,-0.15,0.448,0,ordinary
ثوب,29,9,16,24,81.5,+0.15,0.54,0,ordinary
ودد,29,7,18,28,81.4,+0.06,0.248,0,ordinary
غشو,29,15,23,26,81.4,+0.36,0.141,0,ordinary
رفع,29,9,21,29,81.3,+0.15,0.115,0,ordinary
فوز,29,7,21,27,81.2,+0.06,0.585,0,ordinary
جدل,29,6,16,27,81.2,-0.00,0.617,0,ordinary
صیر,29,3,22,29,81.1,-0.24,0.56,0,ordinary
دری,29,7,21,28,81.1,+0.06,0.0243,1,SIGNATURE(local)
ثنی,29,12,18,24,81.0,+0.27,0.981,0,ordinary
ثقل,28,12,19,26,81.0,+0.27,0.0243,1,SIGNATURE(local)
ءبد,28,1,15,28,80.9,-0.54,0.377,0,ordinary
نشء,28,9,14,25,80.8,+0.16,0.0648,0,ordinary
حوط,28,10,18,27,80.8,+0.20,0.618,0,ordinary
شقق,28,14,21,25,80.7,+0.33,0.331,0,ordinary
یقن,28,9,19,28,80.7,+0.16,0.0243,1,SIGNATURE(local)
خلو,28,5,18,28,80.6,-0.06,0.587,0,ordinary
سبع,28,5,16,24,80.5,-0.06,0.263,0,ordinary
عدل,28,6,11,24,80.5,+0.00,0.584,0,ordinary
لوط,27,2,14,27,80.4,-0.36,0.366,0,ordinary
عجب,27,7,17,24,80.4,+0.07,0.595,0,ordinary
بوب,27,5,17,24,80.3,-0.06,0.509,0,ordinary
مسک,27,9,17,24,80.2,+0.16,0.401,0,ordinary
عشر,27,10,19,26,80.2,+0.21,0.741,0,ordinary
شجر,27,2,19,26,80.1,-0.36,0.564,0,ordinary
غرر,27,6,14,21,80.1,+0.01,0.221,0,ordinary
عمر,27,11,16,22,80.0,+0.24,0.587,0,ordinary
وزر,27,8,11,14,80.0,+0.12,0.127,0,ordinary
سیر,27,9,21,25,79.9,+0.16,0.494,0,ordinary
قمر,27,2,23,26,79.8,-0.36,0.207,0,ordinary
ءین,27,2,20,27,79.8,-0.36,0.744,0,ordinary
مدن,27,3,15,27,79.7,-0.23,0.555,0,ordinary
منن,27,10,20,25,79.7,+0.21,0.186,0,ordinary
رجو,26,9,19,25,79.6,+0.17,0.632,0,ordinary
نبت,26,5,21,23,79.5,-0.05,0.45,0,ordinary
خزی,26,8,15,24,79.5,+0.12,0.79,0,ordinary
وضع,26,7,18,24,79.4,+0.07,0.18,0,ordinary
عجز,26,10,21,25,79.4,+0.21,0.577,0,ordinary
هون,26,10,19,26,79.3,+0.21,0.598,0,ordinary
ثمد,26,1,21,25,79.2,-0.53,0.264,0,ordinary
جحم,26,2,18,26,79.2,-0.35,0.04,1,SIGNATURE(local)
شری,25,10,8,23,79.1,+0.22,0.852,0,ordinary
بسط,25,8,15,23,79.1,+0.13,0.618,0,ordinary
بطن,25,6,18,25,79.0,+0.02,0.709,0,ordinary
لسن,25,3,18,24,79.0,-0.22,0.45,0,ordinary
صلی,25,14,21,25,78.9,+0.35,0.0648,0,ordinary
حول,25,8,19,25,78.8,+0.13,0.994,0,ordinary
عیس,25,1,11,25,78.8,-0.52,0.556,0,ordinary
حدد,25,7,12,20,78.7,+0.08,0.319,0,ordinary
قسط,25,5,15,22,78.7,-0.04,0.419,0,ordinary
حضر,25,11,16,25,78.6,+0.26,0.512,0,ordinary
فلک,25,1,20,25,78.5,-0.52,0.769,0,ordinary
سقی,25,15,19,24,78.5,+0.38,0.253,0,ordinary
وعظ,25,9,14,24,78.4,+0.18,0.971,0,ordinary
وهب,25,5,12,22,78.4,-0.04,0.251,0,ordinary
ءدم,25,1,9,25,78.3,-0.52,0.566,0,ordinary
وقع,24,9,16,22,78.2,+0.18,0.192,0,ordinary
رقب,24,9,14,20,78.2,+0.18,0.347,0,ordinary
ثمر,24,4,12,22,78.1,-0.12,0.856,0,ordinary
مرض,24,5,13,23,78.1,-0.04,0.663,0,ordinary
ذلل,24,12,17,23,78.0,+0.30,0.46,0,ordinary
فحش,24,3,15,23,78.0,-0.21,0.916,0,ordinary
غضب,24,4,15,21,77.9,-0.12,0.343,0,ordinary
کود,24,6,19,24,77.8,+0.03,0.767,0,ordinary
فجر,24,10,16,21,77.8,+0.23,0.0531,0,ordinary
ءذی,24,9,10,22,77.7,+0.18,0.46,0,ordinary
جهل,24,8,17,24,77.7,+0.14,1,0,ordinary
سرع,23,6,14,23,77.6,+0.04,0.791,0,ordinary
وزن,23,6,14,21,77.5,+0.04,0.0243,1,SIGNATURE(local)
سرف,23,8,17,21,77.5,+0.14,0.87,0,ordinary
لبس,23,6,13,20,77.4,+0.04,0.704,0,ordinary
غرق,23,8,18,23,77.4,+0.14,0.748,0,ordinary
طلق,23,5,10,21,77.3,-0.03,0.302,0,ordinary
نکح,23,8,6,19,77.2,+0.14,0.444,0,ordinary
مشی,23,8,14,20,77.2,+0.14,0.282,0,ordinary
یتم,23,4,12,22,77.1,-0.11,0.0243,1,SIGNATURE(local)
ربع,22,6,11,21,77.1,+0.04,0.64,0,ordinary
بنی,22,9,16,18,77.0,+0.20,0.309,0,ordinary
لدی,22,1,12,21,77.0,-0.50,0.137,0,ordinary
غوی,22,8,11,18,76.9,+0.15,0.444,0,ordinary
ترب,22,6,18,22,76.8,+0.04,0.236,0,ordinary
خطء,22,8,13,20,76.8,+0.15,0.374,0,ordinary
فرح,22,5,13,21,76.7,-0.02,0.691,0,ordinary
تمم,22,6,12,20,76.7,+0.04,0.926,0,ordinary
