salience_rank,root,freq,n_forms,n_suras,n_ayat,morphology_pctile,sura_concentration_q,signature,typology
1257,لقط,2,2,2,2,45.3,0.789,0,ordinary
1258,زحزح,2,2,2,2,51.8,1,0,ordinary
1259,زجج,2,1,1,1,0.7,0.473,0,ordinary
1260,لدد,2,2,2,2,44.6,0.837,0,ordinary
1261,زمر,2,1,1,2,33.7,0.474,0,ordinary
1262,زلم,2,1,1,2,33.7,0.762,0,ordinary
1263,زلق,2,2,2,2,52.8,0.408,0,ordinary
1264,لمم,2,2,2,2,45.4,0.206,0,ordinary
1265,لمح,2,1,2,2,14.9,0.505,0,ordinary
1266,سقم,2,1,1,2,30.1,0.365,0,ordinary
1267,سفک,2,2,1,2,49.3,0.972,0,ordinary
1268,لبن,2,2,2,2,46.9,0.55,0,ordinary
1269,لبد,2,1,2,2,14.2,0.15,0,ordinary
1270,قیل,2,2,2,2,46.7,0.758,0,ordinary
1271,قیض,2,2,2,2,46.7,0.569,0,ordinary
1272,سعد,2,2,1,2,50.1,0.601,0,ordinary
1273,سرمد,2,1,1,2,31.4,0.543,0,ordinary
1274,سبغ,2,2,2,2,48.0,0.503,0,ordinary
1275,سبء,2,1,2,2,32.0,0.628,0,ordinary
1276,زود,2,2,1,1,48.8,0.969,0,ordinary
1277,لغب,2,1,2,2,14.3,0.418,0,ordinary
1278,لظی,2,2,2,2,44.7,0.132,0,ordinary
1279,کمم,2,1,2,2,1.3,0.418,0,ordinary
1280,ءثث,2,1,2,2,34.9,0.719,0,ordinary
1281,غدر,2,2,1,2,46.4,0.571,0,ordinary
1282,غثو,2,1,2,2,21.5,0.174,0,ordinary
1283,عیی,2,2,2,2,46.3,0.406,0,ordinary
1284,عیل,2,2,2,2,46.2,0.123,0,ordinary
1285,غطو,2,1,2,2,19.8,0.494,0,ordinary
1286,کسل,2,1,2,2,34.6,0.969,0,ordinary
1287,ءمو,2,2,2,2,48.3,0.916,0,ordinary
1288,ءمل,2,2,2,2,52.4,0.592,0,ordinary
1289,ءلل,2,1,1,2,34.0,0.715,0,ordinary
1290,ءصد,2,1,2,2,34.2,0.0958,0,ordinary
1291,ءشر,2,1,1,2,34.3,0.187,0,ordinary
1292,کهن,2,1,2,2,0.9,0.222,0,ordinary
1293,کهل,2,1,2,2,1.0,0.98,0,ordinary
1294,کمه,2,1,2,2,1.2,0.982,0,ordinary
1295,کند,1,1,1,1,1.2,0.0882,0,ordinary
1296,کنس,1,1,1,1,1.1,0.162,0,ordinary
1297,ءلت,1,1,1,1,34.1,0.297,0,ordinary
1298,ءمت,1,1,1,1,2.5,0.697,0,ordinary
1299,ءنم,1,1,1,1,2.4,0.372,0,ordinary
1300,کسد,1,1,1,1,2.5,0.829,0,ordinary
1301,کشط,1,1,1,1,34.6,0.146,0,ordinary
1302,غزل,1,1,1,1,20.0,0.789,0,ordinary
1303,غزو,1,1,1,1,20.0,0.944,0,ordinary
1304,غصب,1,1,1,1,19.9,0.732,0,ordinary
1305,غصص,1,1,1,1,19.9,0.222,0,ordinary
1306,غطش,1,1,1,1,19.8,0.197,0,ordinary
1307,غبن,1,1,1,1,21.5,0.257,0,ordinary
