global_rank,root,gloss,freq,n_forms,n_suras,prominence_pctile,living(+)/frozen(-),signature_rank,dom_sura,conc_z,conc_q
826,کوکب,,5,3,5,51.5,+0.04,,82,1.0,0.307
827,لمس,,5,3,5,51.4,+0.04,,72,-0.2,0.615
828,ءرک,,5,1,4,51.4,-0.26,,83,3.2,0.178
829,زهق,,5,4,3,51.3,+0.14,,17,-0.3,0.743
830,شرح,,5,4,5,51.3,+0.14,,94,4.1,0.141
831,شحح,,5,2,4,51.2,-0.09,,64,0.1,0.429
832,شرع,,5,4,4,51.1,+0.14,,42,-0.0,0.518
833,فوج,,5,3,5,51.1,+0.04,,110,5.3,0.0759
834,شطر,,5,1,1,51.0,-0.26,,2,-0.4,0.803
835,هزز,,5,3,5,51.0,+0.04,,41,-0.3,0.767
836,فوت,,5,3,5,50.9,+0.04,,67,0.2,0.435
837,شتت,,5,3,5,50.9,+0.04,,99,4.0,0.166
838,ثبر,,5,2,3,50.8,-0.09,,84,1.8,0.219
839,برد,,5,3,5,50.7,+0.04,,78,0.4,0.372
840,صرخ,,5,5,4,50.7,+0.21,,14,0.0,0.487
841,وزع,,5,2,3,50.6,-0.09,,27,0.5,0.37
842,وجل,,5,4,4,50.6,+0.14,,15,0.2,0.426
843,هیت,,5,2,5,50.5,-0.09,,21,-0.6,0.938
844,لین,,5,5,5,50.4,+0.21,,59,-0.3,0.708
845,وسط,,5,4,4,50.4,+0.14,,100,2.7,0.188
846,شهب,,5,3,4,50.3,+0.04,,72,1.3,0.231
847,خدع,,5,3,3,50.3,+0.04,,8,-0.6,0.983
848,حصب,,5,2,5,50.2,-0.09,,67,0.1,0.478
849,سدس,,5,2,3,50.1,-0.09,,58,-0.3,0.722
850,جلو,,5,4,4,50.1,+0.14,,91,3.2,0.153
851,حیص,,5,2,5,50.0,-0.09,,50,-0.1,0.611
852,نشز,,5,4,3,50.0,+0.14,,58,0.3,0.418
853,دلو,,5,5,4,49.9,+0.21,,53,-0.2,0.664
854,خرص,,5,3,4,49.9,+0.04,,51,-0.2,0.633
855,قرف,,5,3,3,49.8,+0.04,,42,-0.4,0.764
856,قرع,striking(Qariʿa),5,1,3,49.7,-0.26,4,101,28.5,0.0243
857,بغض,,5,1,3,49.7,-0.26,,60,-0.1,0.609
858,رقی,,4,4,3,49.6,+0.17,,75,0.4,0.314
859,سقف,,4,2,4,49.6,-0.05,,52,-0.0,0.54
860,کعب,,4,3,2,49.5,+0.07,,78,0.3,0.404
861,سقر,,4,1,2,49.4,-0.23,,74,4.5,0.137
862,سفن,,4,1,2,49.4,-0.23,,18,-0.0,0.508
863,سمن,,4,3,3,49.3,+0.07,,88,1.5,0.207
864,ءمس,,4,1,2,49.3,-0.23,,28,0.1,0.472
865,ءسی,,4,2,3,49.2,-0.05,,57,-0.4,0.769
866,قلد,,4,2,3,49.1,-0.05,,42,-0.3,0.751
867,لمز,,4,3,3,49.1,+0.07,,104,3.5,0.17
868,سجل,,4,2,4,49.0,-0.05,,105,5.3,0.127
869,بدع,,4,3,4,49.0,+0.07,,57,-0.3,0.73
870,زلل,,4,4,3,48.9,+0.17,,16,-0.6,1
871,یبس,,4,3,3,48.9,+0.07,,12,-0.3,0.776
872,ءیک,,4,1,4,48.8,-0.23,,50,0.0,0.503
873,عزر,,4,3,4,48.7,+0.07,,48,-0.4,0.873
874,وفق,,4,4,3,48.7,+0.17,,78,0.1,0.474
875,وقف,,4,3,3,48.6,+0.07,,34,-0.3,0.733
876,بول,,4,1,3,48.6,-0.23,,47,0.3,0.375
877,ءفل,,4,2,1,48.5,-0.05,,6,-0.1,0.574
878,نسل,,4,2,4,48.4,-0.05,,32,-0.0,0.568
879,عفف,,4,2,3,48.4,-0.05,,24,-0.3,0.744
880,قلم,,4,2,4,48.3,-0.05,,96,1.6,0.207
881,تبب,perish(Tabbat),4,3,3,48.3,+0.07,11,111,16.5,0.0243
882,عجم,,4,3,3,48.2,+0.07,,41,0.1,0.474
883,طوق,,4,3,2,48.1,+0.07,,2,-0.6,0.993
884,کوب,,4,1,4,48.1,-0.23,,88,1.5,0.197
885,طلب,,4,4,3,48.0,+0.17,,22,-0.3,0.691
886,نمل,,4,3,2,48.0,+0.07,,27,0.3,0.373
887,نقر,,4,3,2,47.9,+0.07,,74,1.5,0.221
888,نسخ,,4,4,4,47.9,+0.17,,45,-0.4,0.791
889,نعج,,4,2,1,47.8,-0.05,,38,2.8,0.174
890,نصو,,4,2,3,47.7,-0.05,,96,6.4,0.0759
891,نفل,,4,2,3,47.7,-0.05,,8,-0.2,0.628
892,دحض,,4,3,4,47.6,+0.07,,42,-0.3,0.721
893,دخر,,4,2,4,47.6,-0.05,,37,-0.4,0.782
894,درر,,4,2,4,47.5,-0.05,,71,-0.0,0.533
895,طبق,,4,3,3,47.4,+0.07,,84,6.3,0.0888
896,عور,,4,2,2,47.4,-0.05,,24,-0.0,0.524
897,غسل,,4,4,4,47.3,+0.17,,69,-0.0,0.54
898,غسق,,4,4,4,47.3,+0.17,,113,6.7,0.0648
899,عقم,,4,2,3,47.2,-0.05,,51,1.0,0.277
900,لجج,,4,3,4,47.1,+0.07,,67,0.0,0.543
901,غضض,,4,3,3,47.1,+0.07,,49,0.2,0.415
902,مزق,,4,2,1,47.0,-0.05,,34,2.2,0.188
903,قنطر,,4,4,2,47.0,+0.17,,3,-0.5,0.856
904,قصو,,4,3,4,46.9,+0.07,,36,-0.3,0.741
905,طفل,,4,3,3,46.9,+0.07,,24,-0.2,0.657
906,سمم,,4,2,4,46.8,-0.05,,52,0.2,0.42
907,سمر,,4,2,2,46.7,-0.05,,20,0.2,0.424
908,خفض,,4,2,4,46.7,-0.05,,56,-0.1,0.566
909,ودع,,4,3,4,46.6,+0.07,,93,2.7,0.186
910,سلح,,4,1,1,46.6,-0.23,,4,-0.2,0.663
911,خصص,,4,3,4,46.5,+0.07,,59,-0.3,0.741
912,دحر,,4,2,3,46.4,-0.05,,17,-0.3,0.729
913,خرق,,4,2,3,46.4,-0.05,,18,-0.4,0.771
914,خسء,,4,3,4,46.3,+0.07,,67,-0.2,0.657
915,جدر,,4,4,3,46.3,+0.17,,59,-0.1,0.617
916,غمر,,4,2,3,46.2,-0.05,,51,0.1,0.457
917,غوث,,4,4,4,46.1,+0.17,,71,0.1,0.444
918,غور,,4,3,3,46.1,+0.07,,67,-0.1,0.577
919,نحت,,4,2,4,46.0,-0.05,,15,-0.3,0.729
920,مجد,,4,1,3,46.0,-0.23,,85,4.6,0.137
921,سول,,4,1,3,45.9,-0.23,,47,-0.2,0.628
