global_rank,root,gloss,freq,n_forms,n_suras,prominence_pctile,living(+)/frozen(-),signature_rank,dom_sura,conc_z,conc_q
1486,صخخ,,1,1,1,12.7,-0.00,,80,1.8,0.162
1487,شوک,,1,1,1,12.6,-0.00,,8,-0.2,0.654
1488,شکس,,1,1,1,12.6,-0.00,,39,-0.2,0.628
1489,ذهل,,1,1,1,12.5,-0.00,,22,-0.2,0.672
1490,ذود,,1,1,1,12.5,-0.00,,28,-0.2,0.729
1491,جفء,,1,1,1,12.4,-0.00,,13,-0.1,0.577
1492,جفن,,1,1,1,12.3,-0.00,,34,-0.1,0.518
1493,جفو,,1,1,1,12.3,-0.00,,32,0.5,0.34
1494,جلس,,1,1,1,12.2,-0.00,,58,0.4,0.377
1495,جبن,,1,1,1,12.2,-0.00,,37,-0.1,0.554
1496,جبه,,1,1,1,12.1,-0.00,,9,-0.3,0.847
1497,جثث,,1,1,1,12.1,-0.00,,14,-0.1,0.57
1498,مجس,,1,1,1,12.0,-0.00,,22,-0.2,0.693
1499,محل,,1,1,1,11.9,-0.00,,13,-0.1,0.535
1500,مخض,,1,1,1,11.9,-0.00,,19,-0.1,0.6
1501,مرت,,1,1,1,11.8,-0.00,,2,-0.4,1
1502,جذو,,1,1,1,11.8,-0.00,,28,-0.2,0.721
1503,جرر,,1,1,1,11.7,-0.00,,7,-0.3,0.916
1504,جرع,,1,1,1,11.6,-0.00,,14,-0.1,0.558
1505,جرف,,1,1,1,11.6,-0.00,,9,-0.4,0.824
1506,لهم,,1,1,1,11.5,-0.00,,91,4.0,0.115
1507,لوذ,,1,1,1,11.5,-0.00,,24,-0.2,0.69
1508,لیت,,1,1,1,11.4,-0.00,,53,0.4,0.312
1509,لفح,,1,1,1,11.3,-0.00,,23,-0.1,0.561
1510,لفظ,,1,1,1,11.3,-0.00,,50,0.3,0.368
1511,شغف,,1,1,1,11.2,-0.00,,12,-0.3,0.786
1512,شفه,,1,1,1,11.2,-0.00,,90,2.9,0.134
1513,رتع,,1,1,1,11.1,-0.00,,12,-0.2,0.775
1514,منو,,1,1,1,11.1,-0.00,,53,0.7,0.329
1515,مکو,,1,1,1,11.0,-0.00,,8,-0.2,0.662
1516,مطو,,1,1,1,10.9,-0.00,,75,1.2,0.18
1517,معز,,1,1,1,10.9,-0.00,,6,-0.3,0.87
1518,معن,,1,1,1,10.8,-0.00,19,107,13.1,0.0243
1519,معی,,1,1,1,10.8,-0.00,,47,0.1,0.376
1520,مرو,,1,1,1,10.7,-0.00,,2,-0.4,1
1521,مزن,,1,1,1,10.6,-0.00,,56,0.3,0.387
1522,مسخ,,1,1,1,10.6,-0.00,,36,-0.0,0.466
1523,مسد,,1,1,1,10.5,-0.00,,111,9.1,0.0857
1524,مسو,,1,1,1,10.5,-0.00,,30,-0.1,0.506
1525,مشج,,1,1,1,10.4,-0.00,,76,0.5,0.266
1526,جبت,,1,1,1,10.3,-0.00,,4,-0.5,0.977
1527,میر,,1,1,1,10.3,-0.00,,12,-0.2,0.781
1528,نبز,,1,1,1,10.2,-0.00,,49,0.5,0.312
1529,نبط,,1,1,1,10.2,-0.00,,4,-0.3,0.971
1530,نتق,,1,1,1,10.1,-0.00,,7,-0.4,0.917
1531,نجد,,1,1,1,10.1,-0.00,,90,4.2,0.103
1532,ثجج,,1,1,1,10.0,-0.00,,78,0.8,0.197
1533,ثری,,1,1,1,9.9,-0.00,,20,-0.2,0.704
1534,ذکو,,1,1,1,9.9,-0.00,,5,-0.3,0.837
1535,ذیع,,1,1,1,9.8,-0.00,,4,-0.4,0.971
1536,ربح,,1,1,1,9.8,-0.00,,2,-0.4,1
1537,شمءز,,1,1,1,9.7,-0.00,,39,-0.2,0.63
1538,شمت,,1,1,1,9.6,-0.00,,7,-0.4,0.907
1539,شمخ,,1,1,1,9.6,-0.00,,77,0.6,0.228
1540,شوب,,1,1,1,9.5,-0.00,,37,-0.1,0.522
1541,شوظ,,1,1,1,9.5,-0.00,,55,0.3,0.372
1542,شعل,,1,1,1,9.4,-0.00,,19,-0.1,0.598
1543,ترق,,1,1,1,9.3,-0.00,,75,1.7,0.166
1544,نسر,,1,1,1,9.3,-0.00,,71,0.9,0.226
1545,نجس,,1,1,1,9.2,-0.00,,9,-0.3,0.831
1546,نحب,,1,1,1,9.2,-0.00,,33,-0.2,0.709
1547,نحر,sacrifice,1,1,1,9.1,-0.00,7,108,22.4,0.0243
1548,نخر,,1,1,1,9.1,-0.00,,79,0.8,0.192
1549,ندی,,1,1,1,9.0,-0.00,,19,-0.1,0.611
1550,تعس,,1,1,1,8.9,-0.00,,47,0.1,0.408
1551,تفث,,1,1,1,8.9,-0.00,,22,-0.2,0.666
1552,تقن,,1,1,1,8.8,-0.00,,27,-0.2,0.628
1553,تلل,,1,1,1,8.8,-0.00,,37,-0.1,0.539
1554,تین,,1,1,1,8.7,-0.00,,95,7.3,0.0888
1555,تیه,,1,1,1,8.6,-0.00,,5,-0.3,0.846
1556,ثبط,,1,1,1,8.6,-0.00,,9,-0.3,0.824
1557,ثبو,,1,1,1,8.5,-0.00,,4,-0.4,0.971
1558,مکک,,1,1,1,8.5,-0.00,,48,-0.0,0.435
1559,نفح,,1,1,1,8.4,-0.00,,21,-0.1,0.596
1560,نضج,,1,1,1,8.3,-0.00,,4,-0.3,0.974
1561,نضخ,,1,1,1,8.3,-0.00,,55,0.2,0.371
1562,نطح,,1,1,1,8.2,-0.00,,5,-0.3,0.856
1563,بید,,1,1,1,8.2,-0.00,,18,-0.2,0.73
1564,رتق,,1,1,1,8.1,-0.00,,21,-0.1,0.587
1565,رحق,,1,1,1,8.1,-0.00,,83,1.2,0.21
1566,شتو,,1,1,1,8.0,-0.00,22,106,12.4,0.04
1567,شحم,,1,1,1,7.9,-0.00,,6,-0.3,0.881
1568,شرد,,1,1,1,7.9,-0.00,,8,-0.2,0.655
1569,شرذم,,1,1,1,7.8,-0.00,,26,-0.2,0.669
1570,شرط,,1,1,1,7.8,-0.00,,47,0.1,0.424
1571,رخو,,1,1,1,7.7,-0.00,,38,-0.0,0.466
1572,ردء,,1,1,1,7.6,-0.00,,28,-0.2,0.741
1573,ردم,,1,1,1,7.6,-0.00,,18,-0.3,0.743
1574,رصص,,1,1,1,7.5,-0.00,,61,0.9,0.226
1575,نون,,1,1,1,7.5,-0.00,,21,-0.2,0.625
1576,نوی,,1,1,1,7.4,-0.00,,6,-0.3,0.889
1577,نکد,,1,1,1,7.3,-0.00,,7,-0.4,0.912
1578,نفی,,1,1,1,7.3,-0.00,,5,-0.3,0.863
1579,نقع,,1,1,1,7.2,-0.00,,100,6.4,0.0979
1580,نمرق,,1,1,1,7.2,-0.00,,88,3.0,0.153
1581,نمم,,1,1,1,7.1,-0.00,,68,1.2,0.25
1582,نهج,,1,1,1,7.1,-0.00,,5,-0.4,0.846
1583,نوء,,1,1,1,7.0,-0.00,,28,-0.2,0.723
1584,بلی,,1,1,1,6.9,-0.00,,20,-0.2,0.708
1585,بهل,,1,1,1,6.9,-0.00,,3,-0.3,0.946
1586,بکک,,1,1,1,6.8,-0.00,,3,-0.3,0.95
1587,نعق,,1,1,1,6.8,-0.00,,2,-0.4,1
1588,نعل,,1,1,1,6.7,-0.00,,20,-0.2,0.7
1589,نغض,,1,1,1,6.6,-0.00,,17,-0.2,0.718
1590,نفث,,1,1,1,6.6,-0.00,,113,11.4,0.0648
1591,سوط,,1,1,1,6.5,-0.00,,89,1.1,0.19
1592,رغم,,1,1,1,6.5,-0.00,,4,-0.3,0.971
1593,بطء,,1,1,1,6.4,-0.00,,4,-0.4,0.966
1594,هجد,,1,1,1,6.3,-0.00,,17,-0.3,0.743
1595,هجع,,1,1,1,6.3,-0.00,,51,0.4,0.357
1596,هدد,,1,1,1,6.2,-0.00,,19,-0.1,0.609
1597,هدم,,1,1,1,6.2,-0.00,,22,-0.2,0.657
1598,هدهد,,1,1,1,6.1,-0.00,,27,-0.2,0.628
1599,هرب,,1,1,1,6.1,-0.00,,72,0.4,0.266
1600,هرت,,1,1,1,6.0,-0.00,,2,-0.4,1
1601,بغل,,1,1,1,5.9,-0.00,,16,-0.3,0.801
1602,بقع,,1,1,1,5.9,-0.00,,28,-0.2,0.708
1603,بقل,,1,1,1,5.8,-0.00,,2,-0.4,1
1604,بلع,,1,1,1,5.8,-0.00,,11,-0.3,0.797
1605,نوش,,1,1,1,5.7,-0.00,,34,-0.1,0.529
1606,نوص,,1,1,1,5.6,-0.00,,38,-0.1,0.466
1607,هلع,,1,1,1,5.6,-0.00,,70,1.1,0.219
1608,همد,,1,1,1,5.5,-0.00,,22,-0.2,0.663
1609,همر,,1,1,1,5.5,-0.00,,54,0.3,0.356
1610,همس,,1,1,1,5.4,-0.00,,20,-0.2,0.732
1611,بسق,,1,1,1,5.3,-0.00,,50,0.2,0.385
1612,بسم,,1,1,1,5.3,-0.00,,27,-0.2,0.628
1613,بصل,,1,1,1,5.2,-0.00,,2,-0.3,1
1614,سکب,,1,1,1,5.2,-0.00,,56,0.2,0.38
1615,سکت,,1,1,1,5.1,-0.00,,7,-0.4,0.913
1616,سیء,,1,1,1,5.1,-0.00,,9,-0.4,0.844
1617,سیب,,1,1,1,5.0,-0.00,,5,-0.3,0.846
1618,سنه,,1,1,1,4.9,-0.00,,2,-0.4,1
1619,سهر,,1,1,1,4.9,-0.00,,79,1.1,0.186
1620,سهل,,1,1,1,4.8,-0.00,,7,-0.4,0.911
1621,سهم,,1,1,1,4.8,-0.00,,37,-0.0,0.518
1622,سوح,,1,1,1,4.7,-0.00,,37,-0.1,0.544
1623,هیل,,1,1,1,4.6,-0.00,,73,0.6,0.242
1624,وءد,,1,1,1,4.6,-0.00,,81,2.0,0.19
1625,وءل,,1,1,1,4.5,-0.00,,18,-0.3,0.768
1626,وبر,,1,1,1,4.5,-0.00,,16,-0.3,0.797
1627,رفرف,,1,1,1,4.4,-0.00,,55,0.3,0.375
1628,سلق,,1,1,1,4.4,-0.00,,33,-0.2,0.709
1629,سمد,,1,1,1,4.3,-0.00,,53,0.3,0.342
1630,سمک,,1,1,1,4.2,-0.00,,79,1.2,0.196
1631,سند,,1,1,1,4.2,-0.00,,63,1.1,0.19
1632,سنم,,1,1,1,4.1,-0.00,,83,1.3,0.18
1633,سلب,,1,1,1,4.1,-0.00,,22,-0.2,0.682
1634,سلسبل,,1,1,1,4.0,-0.00,,76,0.6,0.272
1635,رقق,,1,1,1,3.9,-0.00,,52,0.5,0.324
1636,رمح,,1,1,1,3.9,-0.00,,5,-0.3,0.865
1637,هزل,,1,1,1,3.8,-0.00,,86,4.5,0.103
1638,هشش,,1,1,1,3.8,-0.00,,20,-0.2,0.708
1639,وحش,,1,1,1,3.7,-0.00,,81,2.5,0.174
1640,بتک,,1,1,1,3.6,-0.00,,4,-0.3,0.972
1641,بجس,,1,1,1,3.6,-0.00,,7,-0.3,0.914
1642,رمد,,1,1,1,3.5,-0.00,,14,-0.1,0.574
1643,رمز,,1,1,1,3.5,-0.00,,3,-0.4,0.949
1644,رمض,,1,1,1,3.4,-0.00,,2,-0.4,1
1645,رهو,,1,1,1,3.4,-0.00,,44,0.5,0.331
1646,سطح,,1,1,1,3.3,-0.00,,88,2.0,0.103
1647,سطو,,1,1,1,3.2,-0.00,,22,-0.2,0.694
1648,سغب,,1,1,1,3.2,-0.00,,90,2.9,0.145
1649,سفع,,1,1,1,3.1,-0.00,,96,3.6,0.121
1650,روع,,1,1,1,3.1,-0.00,,11,-0.3,0.809
1651,روم,,1,1,1,3.0,-0.00,,30,-0.1,0.533
1652,رکد,,1,1,1,2.9,-0.00,,42,-0.1,0.5
1653,رکز,,1,1,1,2.9,-0.00,,19,-0.1,0.596
1654,بحث,,1,1,1,2.8,-0.00,,5,-0.3,0.856
1655,وفض,,1,1,1,2.8,-0.00,,70,0.8,0.209
1656,وقب,,1,1,1,2.7,-0.00,18,113,13.2,0.04
1657,وقذ,,1,1,1,2.6,-0.00,,5,-0.3,0.856
1658,ولت,,1,1,1,2.6,-0.00,,49,0.4,0.343
1659,وسن,,1,1,1,2.5,-0.00,,2,-0.5,1
1660,وشی,,1,1,1,2.5,-0.00,,2,-0.4,1
1661,وصد,,1,1,1,2.4,-0.00,,18,-0.2,0.75
1662,وضن,,1,1,1,2.4,-0.00,,56,0.3,0.38
1663,وطن,,1,1,1,2.3,-0.00,,9,-0.3,0.818
1664,ءود,,1,1,1,2.2,-0.00,,2,-0.4,1
1665,ءیم,,1,1,1,2.2,-0.00,,24,-0.2,0.707
1666,بءر,,1,1,1,2.1,-0.00,,22,-0.2,0.652
1667,ببل,,1,1,1,2.1,-0.00,,2,-0.4,1
1668,بتر,cut-off(abtar),1,1,1,2.0,-0.00,2,108,46.8,0.0243
1669,وتن,,1,1,1,1.9,-0.00,,69,0.5,0.268
1670,وجب,,1,1,1,1.9,-0.00,,22,-0.2,0.663
1671,زفف,,1,1,1,1.8,-0.00,,37,-0.1,0.53
1672,ءبب,,1,1,1,1.8,-0.00,,80,2.0,0.18
1673,ءدد,,1,1,1,1.7,-0.00,,19,-0.1,0.577
1674,یقظ,,1,1,1,1.6,-0.00,,18,-0.3,0.763
1675,ءرم,,1,1,1,1.6,-0.00,,89,1.4,0.18
1676,یقت,,1,1,1,1.5,-0.00,,55,0.2,0.388
1677,ءسن,,1,1,1,1.5,-0.00,,47,0.3,0.394
1678,کلح,,1,1,1,1.4,-0.00,,23,-0.1,0.577
1679,کبد,,1,1,1,1.4,-0.00,,90,2.8,0.141
1680,کبکب,,1,1,1,1.3,-0.00,,26,-0.2,0.684
1681,کثب,,1,1,1,1.2,-0.00,,73,1.2,0.192
1682,کدر,,1,1,1,1.2,-0.00,,81,1.9,0.188
1683,کدی,,1,1,1,1.1,-0.00,,53,0.5,0.339
1684,ونی,,1,1,1,1.1,-0.00,,20,-0.2,0.692
1685,وهج,,1,1,1,1.0,-0.00,,78,1.7,0.207
1686,وهی,,1,1,1,0.9,-0.00,,69,0.7,0.257
1687,عفرت,,1,1,1,0.9,-0.00,,27,-0.2,0.617
1688,خطط,,1,1,1,0.8,-0.00,,29,-0.1,0.555
1689,خلع,,1,1,1,0.8,-0.00,,20,-0.2,0.7
1690,کوی,,1,1,1,0.7,-0.00,,9,-0.3,0.831
1691,کند,,1,1,1,0.6,-0.00,,100,9.2,0.0531
1692,کنس,,1,1,1,0.6,-0.00,,81,2.8,0.157
1693,کسد,,1,1,1,0.5,-0.00,,9,-0.3,0.831
1694,کشط,,1,1,1,0.5,-0.00,,81,3.1,0.141
1695,کفء,equal(kufuwan),1,1,1,0.4,-0.00,6,112,25.0,0.0243
1696,کفت,,1,1,1,0.4,-0.00,,77,1.4,0.206
1697,کلء,,1,1,1,0.3,-0.00,,21,-0.2,0.605
1698,ءلت,,1,1,1,0.2,-0.00,,52,0.4,0.319
1699,زحف,,1,1,1,0.2,-0.00,,8,-0.2,0.663
1700,زرب,,1,1,1,0.1,-0.00,,88,2.8,0.153
1701,زرق,,1,1,1,0.1,-0.00,,20,-0.2,0.691
1702,زری,,1,1,1,0.0,-0.00,,11,-0.2,0.811
